                               PAYROLL  REPORT                    10/18/2018
 EMPLOYEE         NAME             OLD     NEW     OLD     NEW     OLD     NEW
    NO.                           SALARY  SALARY   DUES    DUES   INSUR.  INSUR.
 
   00001    ADAMSON                40000   42800  150.00  156.00  675.00  695.25
   00002    BAKER                  50000   53500  275.50  286.52  800.50  824.51
   00003    CARTWELL              100000  107000  170.50  177.32  975.25 1004.50
   00004    DORSEY                 45000   48150  280.00  291.20  800.50  824.51
   00005    HAMMOND                50000   53500  195.00  202.80  900.00  927.00
   00006    NOLTE                  45000   48150  135.00  140.40  900.25  927.25
   00007    REDFORD                48000   51360  290.75  302.38  850.75  876.27
   00008    JOHNKE                 55000   58850  220.00  228.80  800.25  824.25
   00009    WHITE                  59000   63130  350.00  364.00  675.00  695.25
   00010    MARSHALL               53000   56710  270.25  281.06  800.50  824.51
   00011    EISEN                  50000   53500  325.00  338.00  900.50  927.51
   00012    SAGER                  68000   72760  290.00  301.60  800.25  824.25
   00013    STERN                  68000   72760  320.75  333.58  900.00  927.00
   00014    SUMMERS                67500   72225  375.00  390.00  675.00  695.25
   00015    JONES                  40000   42800  210.00  218.40  995.75 1025.62
   00016    JOHNSON               100000  107000  225.25  234.26  800.75  824.77
   00017    NOLAN                  44750   47882  325.00  338.00  800.25  824.25
   00018    CANTWELL               68250   73027  255.50  265.72  675.25  695.50
   00019    SMITH                  75000   80250  110.00  114.40  850.50  876.01
   00020    HAMMEL                 59100   63237  280.00  291.20  800.00  824.00
   00021    RAMIREZ                57043   61036  136.29  141.74   55.33   56.98
   00022    WASHINGTON             47308   50619  211.72  220.18  101.79  104.84
   00023    JAMES                  45716   48916   78.47   81.60   99.21  102.18
   00024    LYONS                  65202   69766  103.51  107.65   36.10   37.18
   00025    GREGORY                67190   71893  219.13  227.89  108.36  111.61
   00026    LINCOLN                43262   46290  163.07  169.59  110.69  114.01
   00027    NEWMAN                 46531   49788  124.22  129.18   56.00   57.68
   00028    CARTWELL               47082   50377  221.89  230.76   87.75   90.38
   00029    DREYFUS                83108   88925  132.63  137.93   44.39   45.72
   00030    LOPEZ                  92018   98459  156.22  162.46   93.23   96.02
   00031    FRANKLIN               44521   47637   34.56   35.94  100.48  103.49
   00032    FORTE                  43972   47050  218.31  227.04   34.81   35.85
   00033    BYRON                  55601   59493  175.00  182.00  106.92  110.12
   00034    KEATS                  43894   46966  203.66  211.80   31.29   32.22
   00035    SOMTER                 71613   76625  214.92  223.51   55.63   57.29
   00036    PITERIS                45000   48150  478.91  498.06  200.01  206.01
   00037    SIMOS                  68900   73723  888.45  923.98  712.31  733.67
   00038    ASHLEY                 75800   81106  871.00  905.84  214.58  221.01
   00039    BUTTERFIELD            43200   46224  855.82  890.05  147.00  151.41
   00040    CALIOPIS               96000  102720  369.58  384.36  214.74  221.18
   00041    DESEREY                85000   90950  256.50  266.76  258.45  266.20
   00042    FIELDSON               52300   55961  465.58  484.20  970.21  999.31
   00043    GALAGHER               89000   95230  258.79  269.14  400.25  412.25
   00044    HOUSTONS               52000   55640  687.11  714.59  124.55  128.28
   00045    JACKSON                87000   93090  878.23  913.35  233.35  240.35
   00046    KENDERSON              36000   38520  781.00  812.24  254.14  261.76
   00047    LIPSTERS               68500   73295  354.55  368.73  688.81  709.47
   00048    MANATARIS              40000   42800  541.23  562.87  698.74  719.70
   00049    NICHOLSON              55500   59385  877.12  912.20  365.45  376.41
   00050    OBERTON                75000   80250  687.12  714.60  300.21  309.21
   00051    PETERS                 63000   67410  568.71  591.45  124.50  128.23
   00052    ROBERTS                65200   69764  554.54  576.72  235.89  242.96
   00053    SERGIS                 87000   93090  214.58  223.16  701.21  722.24
   00054    TUCKERSON              65000   69550  245.87  255.70     .12     .12
   00055    VRICOLICSON            50000   53500   11.47   11.92  445.30  458.65
   00056    MACALUSO               75800   81106  124.55  129.53  524.11  539.83
   00057    KORNS                  60000   64200  902.23  938.31  545.55  561.91
   00058    OKINS                  75600   80892  978.00 1017.12   21.45   22.09
   00059    FRIEDMAN               89500   95765  678.78  705.93    1.21    1.24
   00060    SANTOS                 47100   50397  971.25 1010.10  456.58  470.27
   00061    ANDOLINI               55300   59171  456.54  474.80  787.01  810.62
                               PAYROLL  REPORT                    10/18/2018
 EMPLOYEE         NAME             OLD     NEW     OLD     NEW     OLD     NEW
    NO.                           SALARY  SALARY   DUES    DUES   INSUR.  INSUR.
 
   00062    RUTH                   50000   53500  354.78  368.97     .14     .14
   00063    APPLESEED              90800   97156  350.00  364.00  587.41  605.03
   00064    RIVERA                 88623   94826  945.12  982.92  333.60  343.60
   00065    RIVERSON               52900   56603  925.14  962.14  220.20  226.80

